0 21 77401 6313 2322 839 17493 8264 45694 4154 39894 3198 922 493 20393 9032 20621 1864 41040 7665 5272 3465 25113 8133 49663 9203 34669 1698 9075 8915 13612 6330 15863 3247 8995 8185 34085 6487 16448 6130 36992 2693 25679 4266 23185
1 21 64731 6071 13297 157 7934 4336 14174 3206 14152 9286 21338 3815 38489 2359 35512 3915 11273 9123 16596 3487 42369 5590 28023 2805 2077 822 5286 5420 33515 964 9685 6699 43386 9333 16856 1319 10021 1029 30876 4172 36666 8566 37986
2 21 93186 1506 7276 9849 5420 8548 38971 8368 28386 7691 13957 6409 6847 2385 17230 8484 4157 744 25799 3841 23795 9184 19526 7002 36855 9546 4382 4082 3717 7399 2647 8055 48905 9922 47903 676 44821 6874 9043 3207 916 9352 45967
3 21 68118 7763 21736 3196 36246 5892 30292 2045 6085 438 47580 5610 43791 4434 5155 8172 34868 5223 21922 7514 33277 826 13788 1180 7854 8608 34405 6896 48166 5320 22599 4132 9434 687 23680 2032 36578 323 40428 9014 7112 8007 975
4 21 63312 902 38793 6129 15425 3660 47704 7346 27525 980 24524 1312 28511 2377 16272 2915 15624 4437 14587 4575 24921 372 15261 8600 2403 8190 35274 2830 27204 2385 47189 8178 9638 2333 659 5062 42344 4714 28759 9868 45693 3282 27532
5 21 66192 556 2010 3803 19822 3986 8239 4408 38560 3159 24780 3820 48110 3534 22009 3383 2716 5564 42119 9904 10094 1756 18588 7104 43169 931 41817 1928 47150 3861 41561 4681 44416 9923 18483 4238 43908 3074 14997 8819 42584 6128 2638
6 21 60233 694 49662 998 40428 8729 22914 2547 18632 3007 654 7219 10110 3823 14501 1926 15750 1650 5786 3662 36331 6554 33584 1165 47143 7491 14238 2139 26309 6822 34619 5298 47515 632 2648 4294 19360 5561 3192 7991 8567 3846 41561
7 21 72431 8676 47668 2413 36953 9769 34062 9090 3430 6744 25643 7014 7909 2785 30856 2146 1276 3517 28967 5894 18814 2833 36525 1461 47127 5884 13373 6670 10226 1939 20515 8138 6966 4534 40550 3918 14302 963 19360 4084 27707 5002 37449
8 21 86820 5615 34139 8304 7760 5414 41820 3079 21307 6986 12263 4183 14798 5741 46418 8171 42411 2995 16461 2925 7484 9779 47459 8033 48 8112 5347 9407 12195 3053 14409 5995 18667 8547 34299 2779 312 2470 12209 7970 35807 4471 12152
9 21 90588 605 16564 4921 45127 8974 47915 7939 38250 5398 17717 2060 19782 7765 30172 5128 37171 8718 24533 7931 24713 9551 32829 5363 18681 3140 34184 889 21109 9991 21712 9612 36947 8275 24532 8425 47248 8798 26363 1849 44195 4080 3909
10 21 73069 328 28196 4080 21808 1718 9149 6340 49649 213 5890 8829 25575 923 31969 9759 21811 9429 46101 9874 19041 3047 48148 9924 31471 1747 48722 4185 13596 9268 18264 3856 39596 2811 17935 7755 44529 3435 24094 529 43648 6335 9357
11 21 75521 5574 37257 7677 45332 5420 43458 1432 35293 8850 40830 9793 38773 2300 27891 3846 46485 7838 13114 1100 41693 2709 10263 5979 30463 4791 19414 908 31671 9413 33594 1027 14986 7203 15056 318 12622 8513 18101 4266 37362 8931 14058
