0 45 173626 68 376 70 57 2339 183 2986 384 2946 187 9897 307 3888 306 5005 409 7755 466 2453 162 3477 497 6099 434 7589 372 8362 350 697 281 9040 264 1656 109 172 346 9791 157 7729 89 6195 477 9247 82 9134 252 6491 388 69 295 6401 45 6791 352 8979 232 5723 340 9581 271 1472 120 3534 127 4080 57 3472 222 9565 200 5662 259 5176 409 5840 310 9160 182 7549 80 3977 302 9124 119 9153 102 7850 375 1794 430
1 45 152090 3997 265 2401 30 2744 332 3938 215 3054 2 3767 215 9260 442 3623 451 9603 134 133 4 4713 109 3805 189 1227 457 4642 429 4183 435 2858 179 6052 111 2060 295 4442 497 1361 495 9498 127 2562 109 4069 36 2911 23 8022 43 3526 86 3503 330 9274 82 286 416 6510 320 6702 219 8998 253 3681 57 7899 123 7053 260 1969 402 4386 382 4362 306 3418 273 4829 291 6667 206 6876 22 8388 150 7603 25 6417 464
2 45 137524 5845 118 2534 342 5871 215 5899 121 4337 303 9380 157 2205 266 3539 66 4923 308 190 251 1098 357 809 473 3378 196 474 332 4220 390 7795 64 8 328 4906 230 6542 156 2350 230 6458 82 6239 14 1847 277 1580 269 9436 269 2872 33 4977 180 4857 354 9227 183 5685 446 4924 331 9862 283 159 267 3512 52 8274 214 282 83 295 20 6097 493 2648 176 1613 435 5796 336 5319 273 4515 27 5478 93 8209 163
3 45 146042 3539 133 7345 400 4415 3 4518 279 555 291 2844 188 3873 490 59 469 7982 58 3996 446 7492 144 6782 162 6916 148 5688 245 7741 397 6259 279 3381 104 1030 295 1106 47 8425 12 4689 268 1551 413 757 109 1234 90 7018 81 1036 361 7724 317 22 491 5464 210 9736 56 5958 494 7186 338 9597 215 3484 55 113 409 5066 153 9528 117 6066 137 4577 151 1726 447 5231 261 8807 307 6929 181 297 245 890 32
4 45 156276 8300 199 6026 486 2536 474 52 371 9028 165 631 94 1317 159 7062 234 6795 490 3736 372 5936 467 3985 95 8273 413 6275 421 9657 16 4953 309 6714 330 6146 101 9303 197 7971 331 6361 454 8776 30 1464 189 4115 258 178 351 9481 466 3169 465 3560 293 4378 186 2713 386 9701 17 1046 266 1346 191 4718 1 3388 40 1683 100 3993 458 6481 456 8998 96 65 175 8446 46 1640 466 3010 51 5758 239 4088 470
5 45 148408 477 288 2487 22 2905 184 8713 122 7184 452 6662 366 903 6 5675 384 2462 172 4331 378 199 128 8423 190 7093 285 6093 350 7875 180 7671 351 320 9 6225 224 6693 289 7198 228 6092 211 5446 494 7216 120 729 29 2144 59 4907 194 538 181 6883 130 3817 475 6831 192 9507 2 6394 326 7362 470 3049 54 258 98 4282 349 6808 79 9695 24 3550 423 52 193 1834 310 738 371 991 121 6353 307 6947 183
6 45 163655 6498 305 4036 244 2630 398 8213 31 1803 323 8628 436 1171 436 8514 217 5811 64 7640 214 4108 325 3524 346 8195 14 8818 399 9320 116 4082 170 4921 469 7765 50 2218 477 5932 21 799 60 2808 322 6347 322 5538 9 9737 29 722 344 1705 97 5041 252 1462 210 7150 134 8678 83 5655 98 2052 419 7499 121 9395 431 4641 46 4342 449 1219 40 5122 256 5548 358 2637 121 5053 341 9570 446 592 31 6655 94
7 45 155873 4516 332 1676 170 5281 79 3588 280 700 335 2562 192 2232 255 5492 450 294 465 6557 193 1822 45 1165 227 9886 234 9672 329 8117 178 7274 132 4362 450 9154 142 5380 241 8773 79 8427 186 4123 158 940 466 459 85 2931 16 6129 104 2560 294 4330 297 4379 353 1978 347 9383 251 7831 244 4552 336 3385 432 2428 10 2362 355 6195 336 7864 487 8802 323 7423 232 1690 52 9187 101 7197 17 9398 427 221 227
8 45 156454 3126 455 3329 308 9698 233 643 435 516 70 7944 229 3924 490 2065 140 328 218 6462 251 5301 3 7654 487 5103 350 4355 352 9128 76 8578 253 530 259 5912 80 2491 54 6014 6 9624 309 2234 399 7150 150 8038 478 7867 351 1580 167 5353 233 4006 308 434 360 7659 61 9287 89 8166 169 847 429 2748 189 6983 113 9046 458 1773 131 2856 274 8281 246 2751 499 4448 182 2018 153 9914 23 2960 347 4382 118
9 45 167119 6260 21 9558 277 6189 256 1205 288 6444 39 6752 489 7496 24 9472 204 149 252 3949 400 6602 248 9933 119 900 347 4641 359 6545 375 829 156 5395 386 6284 435 7142 489 3222 437 8379 473 1778 375 4848 249 2578 496 5352 378 4247 453 7625 180 572 25 378 212 8735 274 6938 63 2430 184 6301 213 6618 294 2553 339 9730 432 6163 359 3158 362 9107 87 8710 458 4964 456 6411 440 3487 334 3816 216 4897 403
