0 30 19133 659 105 1324 103 954 494 1802 30 582 468 297 20 1855 247 32 205 170 208 1158 46 474 279 321 449 1082 39 392 481 485 54 1011 143 334 98 1964 180 899 493 1761 218 141 132 73 387 1163 129 908 222 138 454 195 268 1774 496 1850 164 1887 182 1648 441
1 30 21753 1692 143 1099 377 240 414 1556 490 906 168 1707 398 800 131 1784 462 1111 191 1684 101 496 230 368 122 1725 217 1785 464 898 285 404 89 927 354 1318 18 1267 373 1007 24 541 65 1921 192 1196 56 1653 158 1098 188 258 94 270 126 215 346 842 351 309 92
2 30 21231 135 64 680 413 917 349 930 35 1222 288 1410 114 1353 182 1805 400 1737 309 1557 335 1497 167 780 266 792 494 463 485 1344 272 76 331 1835 108 1243 104 1456 173 1638 29 460 400 1142 164 1081 298 1063 318 1107 472 4 455 1138 283 1072 281 128 34 265 323
3 30 25094 305 341 1653 492 1800 248 1595 255 1772 84 284 231 983 277 747 416 1075 161 1585 33 1132 440 1487 121 722 58 901 201 443 166 1375 248 1858 28 1591 157 627 37 911 398 1120 46 980 455 1675 226 1222 101 1887 306 1633 370 745 471 1991 318 380 391 1370 322
4 30 25011 408 244 1921 265 1771 11 273 249 1399 36 1146 19 1081 126 1325 107 1851 46 207 89 1703 191 1459 447 1661 449 616 40 691 485 1214 451 728 134 1715 351 997 340 1599 395 1875 97 1265 307 1222 441 414 424 1838 472 1513 40 1163 323 338 323 1123 453 1215 313
5 30 18186 1289 280 1263 369 1913 330 1219 261 21 169 8 395 265 124 1553 486 565 466 910 402 938 274 294 100 96 131 1274 218 1936 340 1382 224 1619 497 1592 384 678 162 1496 198 331 3 592 447 1479 144 433 395 462 194 796 251 819 89 202 414 72 327 483 7
6 30 18253 667 364 1230 285 860 322 520 37 335 16 234 165 1870 177 1612 348 1673 396 1742 486 441 390 236 259 330 289 524 401 615 6 407 281 1221 489 1918 81 1162 437 1969 496 804 55 161 174 83 124 21 255 871 115 592 311 1004 179 921 333 1967 444 86 82
7 30 20837 801 492 214 21 480 483 453 141 1272 274 1489 75 1680 149 748 262 124 121 1869 494 1587 460 656 90 1639 76 274 457 1371 211 538 23 1555 104 895 34 1586 200 27 357 473 15 1284 152 1515 383 265 490 1855 133 983 441 945 490 382 435 1917 8 891 287
8 30 20513 1718 429 161 272 884 55 1658 469 1106 36 1678 78 1902 313 81 416 1695 346 1405 402 830 239 1342 274 1080 76 708 496 1083 451 282 152 1379 294 776 114 200 433 1434 306 820 463 1235 221 775 316 488 322 13 392 723 194 982 416 1320 61 491 379 1056 425
9 30 19550 329 189 1429 59 834 204 672 33 988 106 338 307 1568 73 527 343 1240 14 1516 104 1257 90 797 90 1005 468 1002 348 847 409 124 175 97 52 1234 282 1755 405 314 242 10 152 900 430 576 278 624 167 791 139 1770 399 728 418 1340 84 1386 341 1931 232
10 30 25216 749 55 1406 197 1606 139 478 213 896 292 806 257 1795 206 1186 222 1483 309 888 126 299 157 1376 26 1574 216 1110 311 1056 392 1542 157 1798 448 1353 404 1938 183 1468 333 974 273 90 120 330 127 1841 165 1436 80 1142 234 1736 369 1112 161 1584 73 972 492
11 30 23065 1964 13 1148 262 1812 352 1517 102 1034 336 1286 359 1960 227 1830 142 1354 170 1158 289 1101 299 874 336 1167 337 849 103 909 172 94 225 1036 93 1338 348 796 206 1301 330 541 86 540 500 313 370 1493 18 391 150 1492 448 31 179 467 368 1527 421 1628 198
