0 15 85 1 3 2 31 3 24 5 8 4 27 6 49 9 38 7 36 10 12 8 48 13 29 15 47 12 38 16 11 11 40
1 15 84 1 40 4 29 2 24 3 5 5 50 6 17 9 16 7 50 16 10 8 11 10 22 14 10 11 2 13 11 12 12
2 15 91 1 23 2 21 3 40 4 4 5 39 6 42 12 9 7 3 8 38 11 6 9 37 20 15 10 49 15 5 18 5
3 15 84 1 18 2 41 4 32 3 2 5 15 7 26 6 23 8 42 9 7 12 21 11 24 10 45 15 4 13 9 14 25
4 15 89 1 48 2 21 3 4 4 10 5 28 6 9 8 14 9 19 10 17 7 34 11 12 13 27 12 4 18 12 19 11
5 15 84 1 38 2 34 3 6 4 43 5 44 6 28 9 50 8 8 7 47 11 46 12 28 13 49 10 17 14 8 16 25
6 15 87 1 34 2 40 3 2 6 19 4 41 5 28 7 16 11 48 10 50 12 14 8 1 9 38 17 39 16 20 14 13
7 15 84 1 35 2 5 3 38 4 11 5 13 6 38 13 35 8 41 7 4 10 30 9 46 16 33 11 3 12 29 14 26
8 15 85 1 43 2 24 3 8 6 7 5 13 4 34 7 21 8 45 13 15 11 49 15 39 9 27 10 22 12 26 16 48
9 15 86 1 11 2 44 3 24 4 26 8 49 5 47 6 30 7 38 13 43 15 30 17 13 9 7 10 13 11 48 12 25
10 15 86 1 22 2 44 3 34 4 12 7 35 5 20 6 15 8 11 10 33 9 45 11 27 13 20 14 10 12 7 19 13
11 15 84 1 12 2 21 3 20 5 35 4 3 11 2 6 35 7 21 9 3 8 40 12 43 14 16 10 33 15 31 13 19
12 15 84 1 29 2 32 3 15 4 24 5 24 6 9 9 11 8 4 7 29 12 37 10 28 13 5 11 30 15 34 14 46
13 15 88 1 17 2 18 3 27 4 44 9 8 6 40 5 5 8 1 11 6 7 24 12 37 16 6 10 26 13 24 19 21
14 15 86 1 36 2 49 3 7 6 7 4 29 5 38 15 20 12 27 16 38 7 22 8 12 9 23 10 38 11 50 14 50
15 15 89 1 38 2 38 4 17 3 4 5 31 6 2 14 20 8 17 9 15 18 22 7 27 10 32 17 46 13 15 11 26
16 15 88 1 16 2 9 4 35 3 45 5 5 6 44 7 9 9 32 10 33 8 9 11 5 17 38 14 26 16 19 13 48
17 15 85 1 36 2 24 3 46 4 23 5 33 6 46 9 13 7 13 12 15 11 2 8 28 10 44 16 21 15 27 13 4
18 15 85 1 16 2 4 3 5 4 19 5 31 8 18 6 28 7 43 12 44 9 20 10 10 15 18 13 33 16 31 11 5
19 15 84 1 37 2 20 3 36 6 36 4 18 5 26 7 38 10 36 9 36 8 37 16 43 14 16 12 8 11 35 13 6
20 15 86 1 39 2 47 3 35 4 27 5 15 7 28 8 32 9 6 6 24 10 32 12 38 11 16 13 41 15 21 17 9
21 15 84 1 4 2 25 3 39 4 15 11 30 5 10 6 49 7 3 9 12 8 23 10 35 12 38 13 23 16 20 14 37
22 15 86 1 34 2 23 3 32 6 13 4 47 7 41 5 34 10 48 9 8 11 23 8 39 14 30 12 9 13 12 19 45
23 15 85 1 47 2 44 3 26 5 46 4 3 6 28 7 18 9 26 8 6 13 3 10 11 11 40 14 36 12 36 17 29
24 15 85 1 49 3 42 2 45 4 19 5 9 7 26 10 49 6 17 8 47 9 45 12 3 15 8 11 10 13 29 16 35
25 15 86 1 14 2 45 3 14 6 28 5 18 4 29 10 22 7 43 8 10 9 21 12 46 15 50 14 9 11 38 17 4
26 15 86 1 29 2 10 3 22 6 25 4 39 5 16 10 32 7 43 8 44 11 1 12 37 16 8 9 23 13 8 17 1
27 15 88 1 4 2 27 3 35 4 16 5 38 8 13 6 16 7 41 10 46 11 45 9 36 13 14 18 33 12 34 17 37
28 15 84 1 21 2 35 3 27 4 49 5 2 7 17 6 45 8 25 9 21 10 45 11 22 14 11 13 2 12 17 16 19
29 15 84 1 19 2 47 3 15 4 14 5 9 7 30 6 44 8 28 10 32 13 44 9 20 14 46 12 17 11 28 15 39
30 15 84 1 22 2 42 3 31 4 17 5 12 8 12 7 5 6 12 10 41 9 3 13 10 15 12 11 20 12 5 14 42
31 15 84 1 36 5 5 2 6 3 41 4 36 7 29 6 13 9 28 8 40 13 49 10 5 14 20 11 8 16 46 12 44
32 15 86 1 48 2 39 3 29 5 41 4 39 8 18 7 46 6 4 12 23 11 24 14 35 13 27 9 18 19 24 10 12
33 15 84 1 9 2 48 3 22 4 18 5 29 6 15 7 46 11 16 8 46 9 8 13 39 14 25 12 38 10 14 15 48
