00 21 100 693 7 285 64 137 72 227 75 136 22 69 76 214 37 254 86 262 65 309 45 331 83 377 18 204 1 294 27 30 2 150 88 186 66 24 9 344 98 345 19 372 30 193
01 21 100 833 9 435 78 422 99 286 66 181 69 94 98 172 46 244 50 27 45 352 14 330 37 390 12 287 34 428 5 106 97 266 44 374 87 42 59 404 75 479 72 2 95 267
02 21 100 709 4 22 63 55 35 444 23 224 34 186 10 67 13 214 24 221 41 116 79 10 45 83 84 176 32 107 77 278 74 232 99 136 86 86 80 160 9 265 18 183 83 207
03 21 100 739 82 344 99 497 78 378 6 22 60 89 97 243 96 226 72 421 57 171 8 95 39 254 16 103 51 85 86 259 67 344 40 310 42 489 19 494 30 435 9 472 2 294
04 21 100 970 66 309 88 325 100 494 92 102 44 176 87 54 94 230 55 124 82 493 42 27 4 272 61 464 95 294 49 290 43 7 56 482 83 355 75 274 70 449 24 294 76 17
05 21 100 711 48 399 50 292 93 428 96 416 41 311 10 34 60 152 81 354 36 335 42 310 66 449 31 267 43 254 71 122 8 21 23 151 13 451 98 228 9 90 76 68 21 454
06 21 100 849 43 255 46 436 16 464 85 347 30 27 52 289 49 74 48 170 96 151 34 398 14 440 56 355 68 23 47 375 95 400 70 402 98 105 69 361 89 367 90 368 19 230
07 21 100 746 68 392 30 37 87 380 23 237 27 136 76 483 90 395 57 288 70 4 39 291 5 436 47 425 96 88 92 237 55 110 19 322 1 400 11 339 79 433 75 157 20 103
08 21 100 770 91 409 97 348 48 118 3 86 8 459 22 7 83 169 94 174 58 400 28 73 27 283 74 105 67 48 61 486 50 252 46 147 51 293 16 5 31 376 63 104 82 345
09 21 100 646 72 475 19 381 74 153 8 446 36 134 81 261 90 147 3 485 10 306 82 308 56 227 23 260 57 298 60 31 18 183 5 288 16 230 41 223 76 228 9 108 88 150
10 21 100 583 54 295 52 90 56 157 72 263 64 250 38 375 58 187 48 117 18 218 51 222 5 66 4 445 41 479 1 86 11 350 91 158 2 133 13 358 28 474 65 348 62 451
11 21 100 735 96 430 20 13 80 94 69 498 97 314 90 227 37 190 64 348 39 354 5 240 38 469 50 493 23 397 60 270 10 263 17 139 82 281 71 375 15 409 51 98 36 366
12 21 100 825 54 228 3 323 77 48 18 99 96 330 20 6 92 489 25 269 66 100 85 222 84 245 71 235 42 82 78 299 90 57 2 464 33 401 83 196 62 402 1 105 97 182
13 21 100 787 11 114 33 280 51 354 64 195 76 450 37 358 85 366 56 174 22 9 89 6 61 322 88 457 35 441 57 440 83 205 73 193 71 105 72 121 10 187 15 86 36 203
14 21 100 826 95 21 20 302 46 341 63 35 98 423 56 385 79 190 26 388 81 360 44 453 52 114 9 375 34 219 62 401 49 103 50 69 75 103 67 215 65 1 40 208 70 249
15 21 100 817 26 157 30 185 53 34 88 418 95 315 4 13 76 404 20 276 58 321 45 232 23 311 99 40 63 63 79 370 48 118 41 357 77 309 85 217 31 229 43 406 84 262
16 21 100 766 81 342 82 377 25 4 39 223 43 201 37 473 22 200 21 392 92 177 90 68 74 284 14 404 95 146 71 330 7 104 40 332 48 196 70 90 23 159 63 197 58 235
17 21 100 662 88 1 63 177 68 99 3 204 64 106 17 210 4 440 40 362 43 62 2 374 9 397 96 31 38 371 89 400 67 398 34 154 98 396 30 465 46 384 10 490 37 271
